x,y,z
14.222008170147692,14.507322041383134,a
34.947148313170025,49.75558191241703,a
49.08340288792409,23.22421180470866,a
55.27581382388161,50.10395909544741,a
50.33626550037798,59.437380277003,a
14.410880870289958,31.571946027404294,a
10.998187012333467,78.88077210637033,a
33.62040625315946,24.502412471064815,a
67.176091179331,90.70537572107827,a
61.55030177095101,60.92264157333847,a
58.55540577870467,64.98551753300939,a
33.8626167008481,110.60271595254375,a
45.601027744275086,82.04042432514643,a
10.972489166519129,103.87016074802096,a
48.619965419542645,152.83935038374085,a
6.1971093269470074,120.71501073024183,a
49.177501126114294,121.53305723398711,a
19.80394701336058,137.06999189506445,a
18.04613935417989,147.94295392688275,a
43.59304955961189,124.57817824413468,a
11.482638843763294,120.63623312312501,a
36.44692236671195,164.60216437396497,a
43.33903018861564,139.9856908976118,a
23.127250803713533,137.45282512828476,a
62.84227690719575,111.09330691522217,a
29.800564461176645,117.7549162204557,a
80.8504105080514,92.23439020809263,a
13.564693095332025,143.67204852095085,a
49.88287021786323,178.96413739177967,a
41.585765038836975,178.99831278458805,a
80.63149230677584,123.1881056541722,a
58.67142813406976,132.87419958498367,a
64.25662023704376,118.52359776910112,a
61.84008874602495,130.35824844329176,a
93.01145109014625,139.10722733927463,a
119.78907187965532,135.3865523942638,a
112.62199613846502,125.78438697691149,a
100.64719379604489,140.17381158283865,a
66.26758760927927,120.7292210700827,a
90.46647370031336,105.43451029843425,a
125.62345264987265,121.69523650997229,a
98.28622756997915,129.5304197112588,a
136.17962767646702,112.3147457675247,a
113.38910014220451,75.89223174879737,a
99.16220587256626,104.3213370065344,a
114.96698558036125,110.84941840799058,a
92.32728590953268,119.10975211468718,a
138.73867176859846,68.51490545984461,a
78.72538213544601,124.47689878766136,a
80.87082895872167,118.07602027750147,a
179.47003378996936,89.43266266613034,a
129.9318209787251,79.30825608833766,a
174.1550445977606,124.16662078975185,a
90.54499215158458,75.7760537804736,a
132.50055593874487,108.37462149475374,a
152.5567309461996,130.80147340353773,a
111.26657522201525,106.1330479876512,a
97.97718537459724,69.4014320250285,a
180.2713597905451,124.19165964103041,a
134.56500341101474,148.54665897472904,a
128.42622499644997,89.86831974373536,a
162.1919471543368,135.25820543253712,a
129.83994432021743,55.84147602041446,a
168.6687025478023,86.57487882524981,a
143.90211418532039,115.17798972920218,a
201.48739292753123,105.52359567696067,a
193.97053288724916,130.22721574501486,a
185.867151680814,139.6439804412243,a
166.92762999518052,141.6596430253581,a
152.47336295721024,75.4450305382095,a
140.10387355299363,178.980082970392,a
139.0715270787726,146.9850579813223,a
167.18903516908682,171.80638816216538,a
160.7167163202411,193.41776921379102,a
133.04109254337328,172.47986222618954,a
163.68632070960902,126.99325871892995,a
196.10357602465845,157.6709547230692,a
239.27256682296576,175.03422073449042,a
158.87441350390515,160.21450501366098,a
197.07278612811868,132.31229923567173,a
168.25901397763067,192.34544986349954,a
114.47559592758718,165.18197101757443,a
163.53551404406457,186.05879863529935,a
177.225932374728,179.12654018709492,a
233.4753952711743,211.4056827542534,a
134.24583079252798,197.23914544745912,a
189.13835440124046,190.04634111204842,a
144.74324002959145,173.9545314847689,a
177.3962567721023,215.86436799814976,a
225.8171196021429,192.34273645025758,a
192.2442968021062,222.44028288523054,a
201.16042987459525,165.05359945230794,a
175.2915954620763,200.66241503720403,a
156.47053050113254,219.46571007783842,a
219.05208896425148,225.0179246192792,a
169.84883957345488,191.40521843437853,a
194.37789440921281,204.68274459662945,a
186.38961095247998,211.39493204185578,a
136.94602868189108,209.30301414893603,a
188.90636608917416,230.53456899012025,a
180.2693702760272,191.6303972978002,a
218.9722392488899,220.9210681170468,a
193.5481100256501,229.91687643132508,a
214.5876330012614,250.25665121712123,a
162.27394352588485,251.72150195265175,a
161.83577855536703,268.3106755741282,a
230.89207682596535,271.27721786900366,a
216.3063953456562,265.9429204370624,a
203.70252036459857,247.01990169294567,a
228.78442529657264,231.77594095218012,a
172.89891655231196,287.3839248875248,a
185.1338343341881,281.1532653966615,a
223.1755287697952,263.8150625703329,a
187.61081147987605,268.933483566326,a
212.3452993589515,205.81970644214005,a
219.44068266977814,293.96265809199275,a
181.52354242624108,281.0023926847761,a
224.62164769801214,300.23999728325805,a
197.08485395476944,260.6629722987482,a
224.94842216390904,258.8990946635952,a
241.86433371513903,250.24501716454137,a
249.41725860765,250.73352593884408,a
279.755054515155,235.41967487066336,a
331.1748284420356,211.55484831633794,a
261.6483103495334,238.99155896382393,a
248.91494243771373,223.85726187122646,a
270.12914244415856,241.34864095938752,a
285.49002162553546,197.98053908516027,a
257.3520829690373,205.5942929197388,a
295.0223606955562,204.08956111713104,a
